! ------------------------------------------------------------- !
! Met Data from Falling Creek Reservoir                         !
! Test ELCOM                                                    !
! 2015 - Mar 2024                                               !
7 data sets
0 seconds between data
0	0	0	0	0	0	0	0
! ------       -------     -------- ------ ------
TIME	AIR_TEMP	WIND_SPEED	WIND_DIR	SOLAR_RAD	LW_RAD_IN	REL_HUM	RAIN
2015007.2500	-2.08	2.4	105.32	0	316.18	0.7577	0
2015007.2917	-2.71	2.98	139.8	0	308.95	0.692	0
2015007.3333	-3.48	2.07	107.34	0	302.56	0.6806	0
2015007.3750	-4.11	1.77	98.15	0	303.08	0.688	0
2015007.4167	-4.94	1.46	102.75	0	299.7	0.6964	0
2015007.4583	-5.42	2	102.83	0	284.25	0.6433	0
2015007.5000	-5.82	1.92	109.69	3.42	275.87	0.6327	0
2015007.5417	-6.14	1.79	140.05	34.78	282.85	0.6249	0
2015007.5833	-6.42	1.81	192.06	79.71	282.85	0.6365	0
2015007.6250	-6.08	1.74	138.19	411.96	270.15	0.5725	0
2015007.6667	-5.25	1.41	160.63	629.57	278.7	0.5418	0.006
2015007.7083	-5.02	2	163.43	553.3	265.58	0.5287	0
2015007.7500	-4.49	2.39	119.19	593.93	232.3	0.5199	0
2015007.7917	-4.09	3.3	105.15	477.15	224.97	0.5056	0
2015007.8333	-4.08	3.71	157.17	200.93	221.21	0.4894	0
2015007.8750	-4.79	3.63	202.87	21.12	217.82	0.5073	0
2015007.9167	-5.4	4.34	172.59	1.55	214.24	0.5413	0
2015007.9583	-5.96	3.64	155.84	0	213.03	0.5654	0
2015008.0000	-6.66	2.99	167.04	0	212.07	0.5976	0
2015008.0417	-7.38	1.43	153.31	0	212.14	0.6004	0
2015008.0833	-7.48	2.25	158.51	0	211.68	0.6587	0
2015008.1250	-7.85	1.73	162.29	0	213.01	0.6487	0
2015008.1667	-8.02	4.77	243.46	0	211.93	0.6674	0
2015008.2083	-8.35	6.24	241.3	0	213.05	0.6759	0
2015008.2500	-8.62	3.52	220.68	0	213.9	0.6767	0
2015008.2917	-8.77	2.28	155.63	0	214.21	0.6738	0
2015008.3333	-8.91	1.78	131.44	0	214.12	0.6864	0
2015008.3750	-8.6	3.3	157.59	0	214.36	0.7293	0
2015008.4167	-8.61	2.64	137.5	0	216.76	0.6687	0
2015008.4583	-8.57	2.24	194.09	0	216.38	0.6608	0
2015008.5000	-8.84	1.23	119.42	1.39	216.61	0.6656	0
2015008.5417	-8.68	1.52	184.56	20.41	216.15	0.695	0
