! --------------------------------------------------------------- !
!  ELCOM Temporal Boundary Condition file
!  Generated by ARMS
! !
! File was created from the following resources on 2015-06-24 06:07:10
! HEADER               BC     ARMS Address
! INFLOW               1     FCR Weir Inflow 1 Drain
! WTR_TEMP			   2     FCR Weir Inflow Temp 1 Drain
! SALINITY			   3     FCR Weir Inflow Salinity 1 Drain
! --------------------------------------------------------------- !
3 data sets
0 seconds between data
0         1        1            1
TIME	INFLOW	WTR_TEMP	SALINITY
2022033.1250	0.0056	0.318125	0
2022033.1667	0.0055	0.272	0
2022033.2083	0.0055	0.237125	0
2022033.2500	0.0055	0.181	0
2022033.2917	0.0055	0.152875	0
2022033.3333	0.0055	0.105	0
2022033.3750	0.0055	0.064625	0
2022033.4167	0.0055	0.03025	0
2022033.4583	0.0055	0.006625	0
2022033.5000	0.0056	-0.03275	0
2022033.5417	0.0055	-0.025875	0
2022033.5833	0.0053	0.052625	0
2022033.6250	0.005	0.1755	0
2022033.6667	0.005	0.41925	0
2022033.7083	0.0051	0.678	0
2022033.7500	0.0052	0.95375	0
2022033.7917	0.0055	1.258125	0
2022033.8333	0.0055	1.381375	0
2022033.8750	0.0058	1.355875	0
2022033.9167	0.0059	1.3035	0
2022033.9583	0.006	1.2535	0
2022034.0000	0.0062	1.231	0
2022034.0417	0.0062	1.18725	0
2022034.0833	0.0062	1.06975	0
2022034.1250	0.0062	1.04875	0
2022034.1667	0.0063	1.112	0
2022034.2083	0.0066	1.14075	0
2022034.2500	0.007	1.278	0
2022034.2917	0.0077	1.283625	0
2022034.3333	0.0086	1.32625	0
2022034.3750	0.0102	1.306875	0
2022034.4167	0.0114	1.365	0
2022034.4583	0.0133	1.4515	0
2022034.5000	0.0157	1.715875	0
2022034.5417	0.0179	1.9775	0
2022034.5833	0.0203	2.26375	0
2022034.6250	0.0232	2.57075	0
2022034.6667	0.0305	2.644375	0
2022034.7083	0.0343	2.903	0
2022034.7500	0.0364	2.82925	0
2022034.7917	0.0431	2.911125	0
2022034.8333	0.0418	3.0975	0
2022034.8750	0.0412	3.259375	0
2022034.9167	0.0561	3.381375	0
2022034.9583	0.0596	3.377875	0
2022035.0000	0.0526	3.80975	0
2022035.0417	0.0493	4.17825	0
2022035.0833	0.0482	4.457875	0
2022035.1250	0.0464	4.643375	0
2022035.1667	0.0473	4.858375	0
2022035.2083	0.0484	5.09575	0
2022035.2500	0.0489	5.317625	0
2022035.2917	0.0484	5.447125	0
2022035.3333	0.0473	5.683	0
2022035.3750	0.0481	5.782125	0
2022035.4167	0.0476	5.8805	0
2022035.4583	0.0477	5.817375	0
2022035.5000	0.0533	5.763125	0
2022035.5417	0.0554	5.738875	0
2022035.5833	0.053	5.879625	0
2022035.6250	0.0514	6.113625	0
2022035.6667	0.064	6.553	0
2022035.7083	0.0727	6.619625	0
2022035.7500	0.067	6.666	0
2022035.7917	0.0606	6.6475	0
2022035.8333	0.0557	6.571875	0
2022035.8750	0.0526	6.306375	0
2022035.9167	0.0493	5.999	0
2022035.9583	0.0471	5.666125	0
2022036.0000	0.045	5.34375	0
2022036.0417	0.0415	5.07825	0
2022036.0833	0.0398	4.78075	0
2022036.1250	0.038	4.52775	0
2022036.1667	0.0361	4.363125	0
2022036.2083	0.0344	4.1935	0
2022036.2500	0.0338	3.8915	0
2022036.2917	0.0321	3.58625	0
2022036.3333	0.0305	3.341	0
2022036.3750	0.0292	3.068875	0
2022036.4167	0.0282	2.898	0
2022036.4583	0.0275	2.707625	0
2022036.5000	0.0261	2.442125	0
2022036.5417	0.0258	2.33925	0
2022036.5833	0.0249	2.357	0
2022036.6250	0.0237	2.409375	0
